time	c1	c2	c3	c1+c2+c3	impulse	boxcar	60Hz noise	c1+c2+c3+60Hz	white noise	c1+c2+c3+whitenoise
-100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0951	-0.0951	0.0974	0.0974
-95	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0588	0.0588	-0.0411	-0.0411
-90	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0588	0.0588	0.0250	0.0250
-85	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0951	-0.0951	-0.0209	-0.0209
-80	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0018	0.0018
-75	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0951	0.0951	-0.0644	-0.0644
-70	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0588	-0.0588	-0.0875	-0.0875
-65	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0588	-0.0588	-0.0503	-0.0503
-60	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0951	0.0951	0.0167	0.0167
-55	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0639	0.0639
-50	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0951	-0.0951	0.0400	0.0400
-45	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0588	0.0588	-0.0348	-0.0348
-40	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0588	0.0588	0.0120	0.0120
-35	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0951	-0.0951	0.0656	0.0656
-30	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0858	-0.0858
-25	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0951	0.0951	0.0891	0.0891
-20	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0588	-0.0588	-0.0957	-0.0957
-15	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0588	-0.0588	0.0642	0.0642
-10	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0951	0.0951	-0.0727	-0.0727
-5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0764	-0.0764
0	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	-0.0951	-0.0951	0.0733	0.0733
5	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0588	0.0588	-0.0271	-0.0271
10	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0588	0.0588	-0.0028	-0.0028
15	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	-0.0951	-0.0951	0.0048	0.0048
20	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0226	0.0226
25	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0951	0.0951	0.0234	0.0234
30	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	-0.0588	-0.0588	0.0107	0.0107
35	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	-0.0588	-0.0588	-0.0159	-0.0159
40	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0951	0.0951	-0.0359	-0.0359
45	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	-0.0848	-0.0848
50	0.0073	0.0000	0.0000	0.0073	0.0000	1.0000	-0.0951	-0.0878	0.0424	0.0497
55	0.0286	0.0000	0.0000	0.0286	0.0000	1.0000	0.0588	0.0874	-0.0145	0.0141
60	0.0629	0.0000	0.0000	0.0629	0.0000	1.0000	0.0588	0.1217	0.0148	0.0777
65	0.1080	0.0000	0.0000	0.1080	0.0000	1.0000	-0.0951	0.0129	0.0512	0.1592
70	0.1613	0.0000	0.0000	0.1613	0.0000	1.0000	0.0000	0.1613	-0.0276	0.1337
75	0.2199	0.0000	0.0000	0.2199	0.0000	1.0000	0.0951	0.3150	-0.0437	0.1761
80	0.2801	0.0000	0.0000	0.2801	0.0000	1.0000	-0.0588	0.2214	0.0675	0.3476
85	0.3387	0.0000	0.0000	0.3387	0.0000	1.0000	-0.0588	0.2799	0.0835	0.4221
90	0.3920	0.0000	0.0000	0.3920	0.0000	1.0000	0.0951	0.4871	0.0561	0.4481
95	0.4371	-0.0145	0.0000	0.4226	0.0000	1.0000	0.0000	0.4226	0.0868	0.5094
100	0.4714	-0.0573	0.0000	0.4141	0.0000	1.0000	-0.0951	0.3190	-0.0702	0.3439
105	0.4927	-0.1257	0.0000	0.3670	0.0000	0.0000	0.0588	0.4258	-0.0712	0.2958
110	0.5000	-0.2160	0.0024	0.2864	0.0000	0.0000	0.0588	0.3452	0.0241	0.3106
115	0.4927	-0.3227	0.0096	0.1796	0.0000	0.0000	-0.0951	0.0845	-0.0066	0.1731
120	0.4714	-0.4397	0.0215	0.0532	0.0000	0.0000	0.0000	0.0532	-0.0737	-0.0205
125	0.4371	-0.5603	0.0381	-0.0851	0.0000	0.0000	0.0951	0.0100	-0.0005	-0.0856
130	0.3920	-0.6773	0.0590	-0.2262	0.0000	0.0000	-0.0588	-0.2850	-0.0196	-0.2458
135	0.3387	-0.7840	0.0843	-0.3611	0.0000	0.0000	-0.0588	-0.4199	-0.0118	-0.3729
140	0.2801	-0.8743	0.1135	-0.4806	0.0000	0.0000	0.0951	-0.3855	-0.0325	-0.5131
145	0.2199	-0.9427	0.1464	-0.5764	0.0000	0.0000	0.0000	-0.5764	0.0625	-0.5139
150	0.1613	-0.9855	0.1828	-0.6413	0.0000	0.0000	-0.0951	-0.7364	0.0804	-0.5609
155	0.1080	-1.0000	0.2222	-0.6698	0.0000	0.0000	0.0588	-0.6110	-0.0798	-0.7496
160	0.0629	-0.9855	0.2643	-0.6583	0.0000	0.0000	0.0588	-0.5995	0.0529	-0.6054
165	0.0286	-0.9427	0.3087	-0.6054	0.0000	0.0000	-0.0951	-0.7005	-0.0053	-0.6107
170	0.0073	-0.8743	0.3549	-0.5121	0.0000	0.0000	0.0000	-0.5121	-0.0258	-0.5379
175	0.0000	-0.7840	0.4025	-0.3816	0.0000	0.0000	0.0951	-0.2865	0.0731	-0.3085
180	0.0000	-0.6773	0.4510	-0.2263	0.0000	0.0000	-0.0588	-0.2851	0.0091	-0.2172
185	0.0000	-0.5603	0.5000	-0.0603	0.0000	0.0000	-0.0588	-0.1190	0.0104	-0.0498
190	0.0000	-0.4397	0.5490	0.1093	0.0000	0.0000	0.0951	0.2044	0.0569	0.1662
195	0.0000	-0.3227	0.5975	0.2748	0.0000	0.0000	0.0000	0.2748	-0.0352	0.2397
200	0.0000	-0.2160	0.6451	0.4292	0.0000	0.0000	-0.0951	0.3341	-0.0585	0.3707
205	0.0000	-0.1257	0.6913	0.5656	0.0000	0.0000	0.0588	0.6244	0.0639	0.6295
210	0.0000	-0.0573	0.7357	0.6784	0.0000	0.0000	0.0588	0.7372	-0.0871	0.5913
215	0.0000	-0.0145	0.7778	0.7633	0.0000	0.0000	-0.0951	0.6682	-0.0276	0.7356
220	0.0000	0.0000	0.8172	0.8172	0.0000	0.0000	0.0000	0.8172	-0.0131	0.8040
225	0.0000	0.0000	0.8536	0.8536	0.0000	0.0000	0.0951	0.9487	0.0120	0.8656
230	0.0000	0.0000	0.8865	0.8865	0.0000	0.0000	-0.0588	0.8277	0.0144	0.9009
235	0.0000	0.0000	0.9157	0.9157	0.0000	0.0000	-0.0588	0.8570	-0.0928	0.8230
240	0.0000	0.0000	0.9410	0.9410	0.0000	0.0000	0.0951	1.0361	-0.0948	0.8461
245	0.0000	0.0000	0.9619	0.9619	0.0000	0.0000	0.0000	0.9619	0.0587	1.0206
250	0.0000	0.0000	0.9785	0.9785	0.0000	0.0000	-0.0951	0.8834	-0.0867	0.8918
255	0.0000	0.0000	0.9904	0.9904	0.0000	0.0000	0.0588	1.0492	-0.0228	0.9676
260	0.0000	0.0000	0.9976	0.9976	0.0000	0.0000	0.0588	1.0564	0.0263	1.0239
265	0.0000	0.0000	1.0000	1.0000	0.0000	0.0000	-0.0951	0.9049	-0.0425	0.9575
270	0.0000	0.0000	0.9976	0.9976	0.0000	0.0000	0.0000	0.9976	-0.0772	0.9204
275	0.0000	0.0000	0.9904	0.9904	0.0000	0.0000	0.0951	1.0855	0.0810	1.0714
280	0.0000	0.0000	0.9785	0.9785	0.0000	0.0000	-0.0588	0.9197	0.0748	1.0533
285	0.0000	0.0000	0.9619	0.9619	0.0000	0.0000	-0.0588	0.9032	-0.0959	0.8661
290	0.0000	0.0000	0.9410	0.9410	0.0000	0.0000	0.0951	1.0361	0.0007	0.9417
295	0.0000	0.0000	0.9157	0.9157	0.0000	0.0000	0.0000	0.9157	-0.0102	0.9056
300	0.0000	0.0000	0.8865	0.8865	0.0000	0.0000	-0.0951	0.7914	0.0594	0.9459
305	0.0000	0.0000	0.8536	0.8536	0.0000	0.0000	0.0588	0.9123	0.0875	0.9410
310	0.0000	0.0000	0.8172	0.8172	0.0000	0.0000	0.0588	0.8760	-0.0127	0.8045
315	0.0000	0.0000	0.7778	0.7778	0.0000	0.0000	-0.0951	0.6827	0.0676	0.8454
320	0.0000	0.0000	0.7357	0.7357	0.0000	0.0000	0.0000	0.7357	0.0705	0.8062
325	0.0000	0.0000	0.6913	0.6913	0.0000	0.0000	0.0951	0.7864	0.0835	0.7749
